"","rcc_name","Consent_method","count"
"86","University of Wisconsin Stroke Net","method_consent___Person_Paper",0
"87","University of Wisconsin Stroke Net","method_consent___Telephone_eConsent",1
"88","University of Wisconsin Stroke Net","method_consent___Telemedicine_eConsent",0
"89","University of Wisconsin Stroke Net","method_consent___Telephone_Paper",0
"90","University of Wisconsin Stroke Net","method_consent___Telemedicine_Paper",0
"91","Western NC StrokeNet","method_consent___Person_eConsent",0
"92","Western NC StrokeNet","method_consent___Person_Paper",4
"93","Western NC StrokeNet","method_consent___Telephone_eConsent",1
"94","Western NC StrokeNet","method_consent___Telemedicine_eConsent",0
"95","Western NC StrokeNet","method_consent___Telephone_Paper",0
"96","Western NC StrokeNet","method_consent___Telemedicine_Paper",0
